id,type,text,unit,source_url,status
U2_W4,word,sweater,Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_W5,word,coat,Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_S1,sentence,It's sunny.,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_S2,sentence,How's the weather?,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_S3,sentence,It's windy.,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_S4,sentence,Is it rainy?,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_S5,sentence,"Yes, it is.",Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_W1,word,sunny,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_W2,word,cloudy,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_W3,word,windy,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_W4,word,rainy,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U3_W5,word,snowy,Unit3,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan03.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_S1,sentence,Let's go by plane.,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_S2,sentence,How do you go to school?,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_S3,sentence,I go to school by bike.,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_S4,sentence,I go to school by bus.,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_W1,word,taxi,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_W2,word,bus,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_W3,word,plane,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_W4,word,bike,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U4_W5,word,ship,Unit4,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan04.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_S1,sentence,This is my bedroom.,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_S2,sentence,Welcome to my home!,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_S3,sentence,This is the living room.,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_S4,sentence,This is the dining room.,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_W1,word,living room,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_W2,word,dining room,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_W3,word,bathroom,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_W4,word,study,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U5_W5,word,kitchen,Unit5,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan05.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U6_S1,sentence,Happy time!,Unit6,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan06.html ; https://yy.suyang123.com/xiaoxue/ernianji/xlbs_xiace_listen6.html,verified
U6_S2,sentence,Welcome to my home!,Unit6,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan06.html ; https://yy.suyang123.com/xiaoxue/ernianji/xlbs_xiace_listen6.html,verified
U6_S3,sentence,It's sunny.,Unit6,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan06.html ; https://yy.suyang123.com/xiaoxue/ernianji/xlbs_xiace_listen6.html,verified
U6_W1,word,happy,Unit6,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan06.html ; https://yy.suyang123.com/xiaoxue/ernianji/xlbs_xiace_listen6.html,verified
U6_W2,word,time,Unit6,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan06.html ; https://yy.suyang123.com/xiaoxue/ernianji/xlbs_xiace_listen6.html,verified
