id,type,text,unit,source_url,status
U5_S1,sentence,English is my favourite subject.,Unit5,https://yyld.51jiaoxi.com/ershang/xlbs_danyuan05.html | https://www.iesdouyin.com/share/video/7112721257732328744,verified
U5_S2,sentence,What's your favourite subject?,Unit5,https://m.zxxk.com/soft/54454377.html | https://www.iesdouyin.com/share/video/7682053784055697006,verified
U5_S3,sentence,"It's English, of course.",Unit5,https://m.zxxk.com/soft/54454377.html | https://www.iesdouyin.com/share/video/7112721257732328744,verified
U5_S4,sentence,I think it's maths.,Unit5,https://m.zxxk.com/soft/54454377.html | https://www.iesdouyin.com/share/video/7682053784055697006,verified
U5_S5,sentence,I like them all.,Unit5,https://www.iesdouyin.com/share/video/7682053784055697006 | https://m.zxxk.com/soft/54454377.html,verified
U5_W1,word,Chinese,Unit5,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://www.iesdouyin.com/share/video/7112721257732328744,verified
U5_W2,word,maths,Unit5,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://www.iesdouyin.com/share/video/7112721257732328744,verified
U5_W3,word,English,Unit5,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://www.iesdouyin.com/share/video/7112721257732328744,verified
U5_W4,word,music,Unit5,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://www.iesdouyin.com/share/video/7112721257732328744,verified
U5_W5,word,art,Unit5,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://www.iesdouyin.com/share/video/7112721257732328744,verified
U6_S1,sentence,It's Monday today.,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danyuan06.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
U6_S2,sentence,What day is it today?,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danyuan06.html | https://www.docin.com/touch_new/preview_new.do?id=4117268189,verified
U6_S3,sentence,Sunday!,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danyuan06.html,verified
U6_W1,word,Sunday,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
U6_W2,word,Monday,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
U6_W3,word,Tuesday,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
U6_W4,word,Wednesday,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
U6_W5,word,Thursday,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
U6_W6,word,Friday,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
U6_W7,word,Saturday,Unit6,https://yyld.51jiaoxi.com/ershang/xlbs_danci.html | https://yy.suyang123.com/xiaoxue/ernianji/xlbs_shangce_listen6.html,verified
